acci_severity,row,acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,junc_detail_d,ped_cross_hum_con_d,ped_cross_phy_facil_d,carri_haz_d,light_con_d,road_surf_con_d,road_type_d,spec_con_site_d,weath_con_d,urb_or_rur_d,NumberHits,ExpectedHits,SamplingWeight,constant,NumberHits2,ExpectedHits2,SamplingWeight2
1,4,451036670,536127,152890,-0.050484,51.258926,4/18/2021,apr,1,28:00.0,17,after,E07000215,1,25,3,70,0,0,0,0,1,1,1,0,0,2,1,1,E01030825,2,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,4,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,4,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,4,451038559,491013,163192,-0.694183,51.360516,4/23/2021,apr,6,45:00.0,13,after,E07000214,3,30,6,30,3,3,0,0,1,1,1,0,0,2,1,2,E01030759,1,1,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,3,1,1
1,4,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,4,451127638,541252,152796,0.022879,51.256836,12/28/2021,dec,3,20:00.0,10,morni,E07000215,3,25,6,30,0,0,0,0,1,1,2,0,0,2,1,2,E01030832,2,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,2,1,1
1,4,451064876,540149,151803,0.006694,51.248184,7/10/2021,jul,7,28:00.0,11,morni,E07000215,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030841,1,3,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,2,1,1
1,4,451064876,540149,151803,0.006694,51.248184,7/10/2021,jul,7,28:00.0,11,morni,E07000215,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030841,1,3,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,2,1,1
1,4,451073352,490749,133348,-0.705519,51.092269,7/30/2021,jul,6,40:00.0,13,after,E07000216,3,286,6,40,0,0,0,0,1,2,2,0,0,1,1,2,E01030933,3,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Raining no high winds,Urban,1,1,1,1,1,1,1
1,4,451074088,528135,146502,-0.167236,51.203365,8/5/2021,aug,5,15:00.0,9,morni,E07000211,3,23,3,40,0,0,0,4,1,1,1,0,0,1,1,2,E01030629,3,3,Not at junction or within 20 metres,None within 50 metres,"Pelican, puffin, toucan or similar non-junction",None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Urban,2,1,1,1,2,1,1
